127.0.0.1 - - [21/Nov/2018:23:08:02 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1415
127.0.0.1 - - [21/Nov/2018:23:08:02 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:08:02 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:08:03 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:08:03 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:08:03 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:08:03 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:08:03 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:08:59 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:08:59 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1431
127.0.0.1 - - [21/Nov/2018:23:09:00 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:09:00 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:09:01 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:09:01 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:09:42 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:09:42 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1436
127.0.0.1 - - [21/Nov/2018:23:09:42 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:09:42 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
